padron, nombres, mail
123456, Banana, banana@fi.uba.ar
125455, Manzana, manzana@fi.uba.ar
125777, Pera, pera@fi.uba.ar
175654, Uva, uva@fi.uba.ar
102030, Naranja, naranja@fi.uba.ar
104050, Limon, limon@fi.uba.ar
106070, Frutilla, frutilla@fi.uba.ar
108090, Kiwi, kiwi@fi.uba.ar
112233, Sandia, sandia@fi.uba.ar
114455, Melon, melon@fi.uba.ar
116677, Durazno, durazno@fi.uba.ar
118899, Anana, anana@fi.uba.ar
122334, Cereza, cereza@fi.uba.ar
124556, Ciruela, ciruela@fi.uba.ar
126778, Mango, mango@fi.uba.ar
128990, Arandano, arandano@fi.uba.ar
134557, Mandarina, mandarina@fi.uba.ar
136779, Higo, higo@fi.uba.ar
138991, Frambuesa, frambuesa@fi.uba.ar
142335, Pomelo, pomelo@fi.uba.ar
144558, Coco, coco@fi.uba.ar
146770, Papaya, papaya@fi.uba.ar
148992, Maracuya, maracuya@fi.uba.ar
152336, Guayaba, guayaba@fi.uba.ar
154559, Palta, palta@fi.uba.ar
156771, Granada, granada@fi.uba.ar
162337, Caqui, caqui@fi.uba.ar
164550, Carambola, carambola@fi.uba.ar
168994, Datil, datil@fi.uba.ar
172338, Grosella, grosella@fi.uba.ar
174551, Lima, lima@fi.uba.ar
176773, Mora, mora@fi.uba.ar
178995, Nispero, nispero@fi.uba.ar
184552, Tamarindo, tamarindo@fi.uba.ar
186774, Pitahaya, pitahaya@fi.uba.ar
188996, Membrillo, membrillo@fi.uba.ar
192340, Castana, castana@fi.uba.ar
194553, Avellana, avellana@fi.uba.ar
196775, Almendra, almendra@fi.uba.ar
198997, Nueces, nueces@fi.uba.ar
201122, Pistacho, pistacho@fi.uba.ar
203344, Maranon, maranon@fi.uba.ar
205566, Cacahuate, cacahuate@fi.uba.ar
207788, Litchi, litchi@fi.uba.ar
209911, Kumquat, kumquat@fi.uba.ar
212234, Ruibarbo, ruibarbo@fi.uba.ar
214456, GrosellaNegra, grosellanegra@fi.uba.ar
